"gene_name","taxa_included","identical_sequences"
"Danio_rerio.20.53405421.53405569.fas","92","2502"
"Danio_rerio.20.5473684.5473845.fas","89","1452"
"Danio_rerio.20.7324773.7324595.fas","55","86"
"Danio_rerio.20.7641908.7641758.fas","50","174"
"Danio_rerio.20.7724936.7724814.fas","51","128"
"Danio_rerio.20.7729733.7729565.fas","95","358"
"Danio_rerio.21.1112645.1112767.fas","74","1237"
"Danio_rerio.21.1927025.1927222.fas","55","175"
"Danio_rerio.21.21673737.21673960.fas","91","843"
"Danio_rerio.21.21970127.21969943.fas","73","751"
"Danio_rerio.21.21977503.21977310.fas","95","471"
"Danio_rerio.21.21978254.21978112.fas","89","1852"
"Danio_rerio.21.22153025.22152823.fas","68","131"
"Danio_rerio.21.25176727.25176519.fas","94","61"
"Danio_rerio.21.25467001.25467177.fas","86","847"
"Danio_rerio.21.25811676.25811172.fas","89","168"
"Danio_rerio.21.29759768.29759470.fas","96","2586"
"Danio_rerio.21.33792499.33792678.fas","63","267"
"Danio_rerio.21.33835517.33835670.fas","95","803"
"Danio_rerio.21.34333157.34333404.fas","58","40"
"Danio_rerio.21.3478758.3478937.fas","91","548"
"Danio_rerio.21.40515067.40514920.fas","55","193"
"Danio_rerio.21.40517808.40517649.fas","89","715"
"Danio_rerio.21.40522577.40522443.fas","73","212"
"Danio_rerio.21.42650754.42650590.fas","70","875"
"Danio_rerio.21.44371717.44371861.fas","59","653"
"Danio_rerio.21.788394.788073.fas","74","233"
"Danio_rerio.21.8560567.8561644.fas","50","2"
"Danio_rerio.21.8849906.8850360.fas","50","188"
"Danio_rerio.21.8854506.8854649.fas","87","2629"
"Danio_rerio.21.9124967.9124663.fas","97","20"
"Danio_rerio.21.9238566.9238720.fas","96","2497"
"Danio_rerio.21.9251039.9251232.fas","94","166"
"Danio_rerio.21.930362.930520.fas","84","1090"
"Danio_rerio.22.10318126.10318434.fas","56","99"
"Danio_rerio.22.10493392.10493264.fas","96","832"
"Danio_rerio.22.10709733.10709595.fas","75","558"
"Danio_rerio.22.11182114.11181932.fas","95","680"
"Danio_rerio.22.11642231.11642790.fas","96","178"
"Danio_rerio.22.1237956.1237818.fas","95","401"
"Danio_rerio.22.19292311.19291520.fas","64","1"
"Danio_rerio.22.21688345.21688008.fas","60","16"
"Danio_rerio.22.21689119.21688434.fas","95","259"
"Danio_rerio.22.24346510.24346274.fas","71","456"
"Danio_rerio.22.32304537.32304349.fas","97","142"
"Danio_rerio.22.32304768.32304638.fas","97","786"
"Danio_rerio.22.32341510.32341682.fas","95","534"
"Danio_rerio.22.32561866.32561708.fas","77","142"
"Danio_rerio.22.32569623.32569473.fas","81","515"
"Danio_rerio.22.32575121.32574961.fas","95","386"
"Danio_rerio.22.32587398.32587223.fas","97","984"
"Danio_rerio.22.381253.381396.fas","89","1802"
"Danio_rerio.22.40625225.40625433.fas","87","473"
"Danio_rerio.22.40693218.40693387.fas","95","412"
"Danio_rerio.23.14310468.14310317.fas","93","367"
"Danio_rerio.23.14323737.14323604.fas","73","338"
"Danio_rerio.23.14894467.14894610.fas","96","1927"
"Danio_rerio.23.18020171.18019810.fas","87","3"
"Danio_rerio.23.18022575.18022332.fas","96","10"
"Danio_rerio.23.18026219.18025905.fas","96","361"
"Danio_rerio.23.18027458.18027267.fas","73","78"
"Danio_rerio.23.20265162.20264979.fas","55","135"
"Danio_rerio.23.21587977.21588167.fas","96","1486"
"Danio_rerio.23.21600040.21600319.fas","96","252"
"Danio_rerio.23.21603174.21603296.fas","88","432"
"Danio_rerio.23.21608146.21608303.fas","96","758"
"Danio_rerio.23.21620009.21620191.fas","94","539"
"Danio_rerio.23.21620280.21620438.fas","96","378"
"Danio_rerio.23.21622553.21622780.fas","95","142"
"Danio_rerio.23.21625189.21625352.fas","96","1377"
"Danio_rerio.23.21625731.21625947.fas","87","545"
"Danio_rerio.23.21627158.21627374.fas","96","149"
"Danio_rerio.23.21635190.21635311.fas","97","1249"
"Danio_rerio.23.21637744.21637921.fas","86","242"
"Danio_rerio.23.21644299.21644526.fas","92","103"
"Danio_rerio.23.21647606.21647799.fas","96","792"
"Danio_rerio.23.21647889.21648128.fas","94","65"
"Danio_rerio.23.21657099.21657220.fas","95","1628"
"Danio_rerio.23.22051336.22051157.fas","88","572"
"Danio_rerio.23.24529955.24529825.fas","96","1067"
"Danio_rerio.23.26156713.26157157.fas","58","150"
"Danio_rerio.23.28743667.28743807.fas","89","1412"
"Danio_rerio.23.28754934.28755056.fas","96","1135"
"Danio_rerio.23.28757111.28757348.fas","95","427"
"Danio_rerio.23.28757427.28757771.fas","96","101"
"Danio_rerio.23.28770180.28770403.fas","96","226"
"Danio_rerio.23.29203093.29202422.fas","74","0"
"Danio_rerio.23.29210460.29210289.fas","97","330"
"Danio_rerio.23.29224430.29224258.fas","96","937"
"Danio_rerio.23.29246807.29246237.fas","65","11"
"Danio_rerio.23.29635796.29635592.fas","97","1254"
"Danio_rerio.23.29755050.29754876.fas","95","697"
"Danio_rerio.23.29757952.29757808.fas","96","675"
"Danio_rerio.23.29759396.29759270.fas","96","1170"
"Danio_rerio.23.29813447.29813582.fas","86","1499"
"Danio_rerio.23.31998605.31998456.fas","93","443"
"Danio_rerio.23.32233166.32233288.fas","57","193"
"Danio_rerio.23.329435.329565.fas","56","321"
"Danio_rerio.23.36734359.36734222.fas","84","681"
"Danio_rerio.23.37173559.37173370.fas","92","362"
"Danio_rerio.23.37174667.37174527.fas","93","802"
"Danio_rerio.23.43795143.43797435.fas","51","6"
"Danio_rerio.23.46149600.46149475.fas","92","234"
"Danio_rerio.23.7300288.7300450.fas","75","416"
"Danio_rerio.23.7300539.7300657.fas","95","209"
"Danio_rerio.23.7630888.7631011.fas","85","718"
"Danio_rerio.23.7651910.7652059.fas","96","600"
"Danio_rerio.23.9188003.9188283.fas","91","330"
"Danio_rerio.24.19794000.19794144.fas","68","751"
"Danio_rerio.24.21785506.21785642.fas","96","2423"
"Danio_rerio.24.22331945.22332066.fas","97","2594"
"Danio_rerio.24.22337089.22337324.fas","96","543"
"Danio_rerio.24.24325336.24325570.fas","85","246"
"Danio_rerio.24.24463008.24463185.fas","79","1137"
"Danio_rerio.24.24578459.24578640.fas","96","165"
"Danio_rerio.24.3549666.3549349.fas","93","1110"
"Danio_rerio.24.36473686.36473856.fas","82","190"
"Danio_rerio.24.36474250.36474434.fas","91","590"
"Danio_rerio.24.37195921.37195797.fas","55","469"
"Danio_rerio.24.37481832.37482113.fas","67","124"
"Danio_rerio.24.37805788.37805532.fas","73","44"
"Danio_rerio.24.38734055.38733907.fas","96","447"
"Danio_rerio.24.39216442.39216566.fas","92","485"
"Danio_rerio.24.39396047.39396319.fas","90","431"
"Danio_rerio.24.6262281.6262158.fas","95","692"
"Danio_rerio.24.7673169.7673032.fas","92","1451"
"Danio_rerio.24.8299296.8299142.fas","96","430"
"Danio_rerio.24.8301821.8301700.fas","92","1389"
"Danio_rerio.24.9441475.9441618.fas","67","460"
"Danio_rerio.24.9706901.9706759.fas","83","865"
"Danio_rerio.24.9714309.9714165.fas","84","668"
"Danio_rerio.25.13636769.13637533.fas","96","920"
"Danio_rerio.25.13640175.13640528.fas","95","214"
"Danio_rerio.25.13645305.13645496.fas","97","920"
"Danio_rerio.25.14631211.14631043.fas","70","585"
"Danio_rerio.25.17003386.17003505.fas","79","805"
"Danio_rerio.25.17689756.17689883.fas","65","1279"
"Danio_rerio.25.17689976.17690216.fas","55","203"
"Danio_rerio.25.17690293.17690412.fas","95","2226"
"Danio_rerio.25.17690521.17690643.fas","75","1603"
"Danio_rerio.25.17694344.17694468.fas","97","1481"
"Danio_rerio.25.17695674.17695853.fas","96","431"
"Danio_rerio.25.17697332.17697628.fas","92","1075"
"Danio_rerio.25.17701345.17701494.fas","93","2285"
"Danio_rerio.25.17701730.17701910.fas","97","224"
"Danio_rerio.25.17702590.17702724.fas","96","2364"
"Danio_rerio.25.18336513.18336725.fas","72","84"
"Danio_rerio.25.18497602.18497790.fas","54","93"
"Danio_rerio.25.20081942.20081819.fas","97","2094"
"Danio_rerio.25.27774748.27776506.fas","94","43"
"Danio_rerio.25.286066.286194.fas","64","517"
"Danio_rerio.25.29422592.29422835.fas","57","228"
"Danio_rerio.25.29600325.29600191.fas","65","887"
"Danio_rerio.25.29606624.29606456.fas","77","360"
"Danio_rerio.25.3004340.3004540.fas","74","1087"
"Danio_rerio.25.33567738.33567890.fas","92","341"
"Danio_rerio.25.33881941.33881635.fas","87","8"
"Danio_rerio.25.3780803.3780675.fas","74","141"
"Danio_rerio.25.4882379.4882518.fas","51","120"
"Danio_rerio.25.6020714.6020930.fas","86","224"
"Danio_rerio.25.7748046.7747861.fas","52","113"
"Danio_rerio.25.8311277.8311008.fas","49","21"
"Danio_rerio.25.8313523.8313329.fas","87","167"
"Danio_rerio.25.8903327.8903584.fas","88","163"
"Danio_rerio.3.16011441.16011288.fas","95","133"
"Danio_rerio.3.18741377.18742142.fas","52","0"
"Danio_rerio.3.25182538.25182125.fas","61","248"
"Danio_rerio.3.26120377.26120509.fas","84","976"
"Danio_rerio.3.28994856.28995066.fas","75","866"
"Danio_rerio.3.31281872.31281654.fas","56","103"
"Danio_rerio.3.31282626.31282378.fas","52","57"
"Danio_rerio.3.31286456.31286234.fas","50","353"
"Danio_rerio.3.31286722.31286568.fas","60","286"
"Danio_rerio.3.31289200.31289039.fas","82","912"
"Danio_rerio.3.32021560.32021284.fas","96","161"
"Danio_rerio.3.32029509.32029295.fas","94","102"
"Danio_rerio.3.33603067.33602945.fas","97","456"
"Danio_rerio.3.33612852.33612709.fas","80","458"
"Danio_rerio.3.34007978.34007774.fas","95","279"
"Danio_rerio.3.34020247.34020039.fas","49","23"
"Danio_rerio.3.35732898.35731709.fas","66","16"
"Danio_rerio.3.40162775.40162937.fas","97","81"
"Danio_rerio.3.43605658.43605517.fas","89","260"
"Danio_rerio.3.43605960.43605815.fas","85","542"
"Danio_rerio.3.53546837.53546992.fas","95","1836"
"Danio_rerio.3.53555981.53556107.fas","76","827"
"Danio_rerio.3.53559711.53559848.fas","77","1546"
"Danio_rerio.3.53587640.53587783.fas","94","1201"
"Danio_rerio.3.53980618.53980780.fas","97","849"
"Danio_rerio.3.55453519.55453332.fas","93","1682"
"Danio_rerio.3.55453754.55453603.fas","81","454"
"Danio_rerio.3.55901923.55901731.fas","51","73"
"Danio_rerio.3.55922694.55922562.fas","95","2177"
"Danio_rerio.3.59328388.59329107.fas","51","12"
"Danio_rerio.3.61200299.61200013.fas","51","105"
"Danio_rerio.3.61201649.61201261.fas","93","33"
"Danio_rerio.3.61670432.61670093.fas","92","1443"
"Danio_rerio.4.11489621.11489392.fas","57","46"
"Danio_rerio.4.11493221.11493093.fas","85","457"
"Danio_rerio.4.14037269.14037533.fas","66","47"
"Danio_rerio.4.14864966.14865125.fas","94","680"
"Danio_rerio.4.14974297.14974490.fas","49","138"
"Danio_rerio.4.15053537.15053670.fas","97","958"
"Danio_rerio.4.15054529.15054717.fas","91","346"
"Danio_rerio.4.15059292.15059430.fas","95","290"
"Danio_rerio.4.1520960.1520751.fas","95","504"
"Danio_rerio.4.16341047.16340889.fas","96","793"
"Danio_rerio.4.16716541.16716750.fas","92","168"
"Danio_rerio.4.18428325.18428137.fas","92","128"
"Danio_rerio.4.1920998.1921117.fas","97","796"
"Danio_rerio.4.19418591.19417945.fas","96","137"
"Danio_rerio.4.19432272.19432436.fas","84","397"
"Danio_rerio.4.24319167.24319338.fas","76","145"
"Danio_rerio.4.2442747.2442586.fas","95","315"
"Danio_rerio.4.457377.457208.fas","92","248"
"Danio_rerio.4.68230.68369.fas","49","670"
"Danio_rerio.4.730788.730651.fas","95","841"
"Danio_rerio.4.860640.860365.fas","56","63"
"Danio_rerio.5.12922151.12922308.fas","55","710"
"Danio_rerio.5.13214310.13214117.fas","53","221"
"Danio_rerio.5.13740880.13741039.fas","58","68"
"Danio_rerio.5.13989225.13989445.fas","96","67"
"Danio_rerio.5.16234556.16233655.fas","54","4"
"Danio_rerio.5.1765279.1765061.fas","68","67"
"Danio_rerio.5.1775729.1775588.fas","64","331"
"Danio_rerio.5.2065132.2064983.fas","68","246"
"Danio_rerio.5.20715305.20715438.fas","92","580"
"Danio_rerio.5.20769605.20769237.fas","81","51"
"Danio_rerio.5.21248641.21248889.fas","97","323"
"Danio_rerio.5.26193539.26193681.fas","59","583"
"Danio_rerio.5.26197644.26197771.fas","89","245"
"Danio_rerio.5.26211472.26210808.fas","58","4"
"Danio_rerio.5.26392610.26392340.fas","73","188"
"Danio_rerio.5.26790347.26790172.fas","93","990"
"Danio_rerio.5.27182114.27181911.fas","94","328"
"Danio_rerio.5.29958635.29958865.fas","94","78"
"Danio_rerio.5.32228605.32228818.fas","93","217"
"Danio_rerio.5.32647796.32647945.fas","75","1503"
"Danio_rerio.5.32708698.32708827.fas","94","972"
"Danio_rerio.5.33713839.33713965.fas","96","842"
"Danio_rerio.5.34915226.34915029.fas","94","74"
"Danio_rerio.5.35254252.35254827.fas","95","228"
"Danio_rerio.5.38164273.38164151.fas","58","468"
"Danio_rerio.5.38167969.38167758.fas","86","261"
"Danio_rerio.5.38170455.38170229.fas","90","14"
"Danio_rerio.5.38178270.38178121.fas","79","260"
"Danio_rerio.5.38183008.38182808.fas","97","214"
"Danio_rerio.5.38185627.38185460.fas","87","824"
"Danio_rerio.5.3939046.3938903.fas","70","228"
"Danio_rerio.5.43261080.43260889.fas","86","42"
"Danio_rerio.5.45244668.45244540.fas","82","368"
"Danio_rerio.5.52913358.52913495.fas","94","1215"
"Danio_rerio.5.5397921.5398072.fas","59","52"
"Danio_rerio.5.55908236.55908378.fas","58","101"
"Danio_rerio.5.56089665.56088866.fas","95","34"
"Danio_rerio.5.60799894.60799744.fas","77","52"
"Danio_rerio.5.62579908.62580058.fas","83","483"
"Danio_rerio.5.62582851.62583034.fas","92","350"
"Danio_rerio.5.62720850.62721098.fas","85","494"
"Danio_rerio.5.62949388.62948966.fas","70","20"
"Danio_rerio.5.66425059.66424489.fas","66","5"
"Danio_rerio.5.70251556.70250757.fas","90","2028"
"Danio_rerio.5.71737004.71737156.fas","86","209"
"Danio_rerio.5.71745006.71745148.fas","96","546"
"Danio_rerio.5.72423975.72423845.fas","93","763"
"Danio_rerio.5.72426007.72425887.fas","78","854"
"Danio_rerio.5.75256326.75256502.fas","73","769"
"Danio_rerio.6.10609072.10608826.fas","79","807"
"Danio_rerio.6.14888366.14888548.fas","80","116"
"Danio_rerio.6.16403034.16402857.fas","92","362"
"Danio_rerio.6.16563331.16563184.fas","95","2437"
"Danio_rerio.6.16670001.16669874.fas","85","438"
"Danio_rerio.6.17467057.17467215.fas","70","163"
"Danio_rerio.6.17614743.17614959.fas","56","85"
"Danio_rerio.6.19534738.19534581.fas","74","230"
"Danio_rerio.6.21628270.21628423.fas","96","212"
"Danio_rerio.6.21630709.21630838.fas","77","460"
"Danio_rerio.6.2263043.2263253.fas","95","729"
"Danio_rerio.6.2266456.2266585.fas","93","2031"
"Danio_rerio.6.2270208.2270353.fas","94","1139"
"Danio_rerio.6.2271212.2271364.fas","93","381"
"Danio_rerio.6.23213720.23213546.fas","90","519"
"Danio_rerio.6.27062551.27062696.fas","97","336"
"Danio_rerio.6.27867432.27867555.fas","94","871"
"Danio_rerio.6.29101227.29101401.fas","97","1633"
"Danio_rerio.6.29862704.29860991.fas","74","14"
"Danio_rerio.6.31319620.31319497.fas","77","1206"
"Danio_rerio.6.32774959.32775124.fas","96","903"
"Danio_rerio.6.33627405.33627284.fas","95","2093"
"Danio_rerio.6.37577232.37577367.fas","53","109"
"Danio_rerio.6.40486753.40486879.fas","96","389"
"Danio_rerio.6.40759925.40759718.fas","97","570"
"Danio_rerio.6.44090612.44090470.fas","96","1140"
"Danio_rerio.6.46387908.46388030.fas","97","1226"
"Danio_rerio.6.49674955.49675086.fas","94","2297"
"Danio_rerio.6.49681920.49682060.fas","71","506"
"Danio_rerio.6.49686138.49686281.fas","51","57"
"Danio_rerio.6.50351368.50351533.fas","93","445"
"Danio_rerio.6.51516474.51516288.fas","96","822"
"Danio_rerio.6.55314701.55314900.fas","68","121"
"Danio_rerio.6.57415342.57415169.fas","68","594"
"Danio_rerio.6.59400746.59400560.fas","56","241"
"Danio_rerio.6.59641680.59641819.fas","95","427"
"Danio_rerio.6.6200950.6200746.fas","58","26"
"Danio_rerio.6.8099502.8099738.fas","97","191"
"Danio_rerio.6.8115098.8115300.fas","79","223"
"Danio_rerio.6.9320841.9320985.fas","95","506"
"Danio_rerio.7.10421381.10421212.fas","76","116"
"Danio_rerio.7.10426482.10426311.fas","95","99"
"Danio_rerio.7.10691258.10691005.fas","95","200"
"Danio_rerio.7.13002350.13001972.fas","92","1230"
"Danio_rerio.7.14523737.14523507.fas","88","69"
"Danio_rerio.7.19207491.19207711.fas","86","346"
"Danio_rerio.7.22733105.22733246.fas","83","1893"
"Danio_rerio.7.22750831.22750957.fas","71","206"
"Danio_rerio.7.25419150.25419518.fas","74","47"
"Danio_rerio.7.25441552.25441807.fas","65","230"
"Danio_rerio.7.25640133.25639647.fas","92","12"
"Danio_rerio.7.25671744.25671928.fas","94","602"
"Danio_rerio.7.25763095.25762927.fas","88","629"
"Danio_rerio.7.30552165.30551952.fas","63","814"
"Danio_rerio.7.31941556.31941103.fas","72","5"
"Danio_rerio.7.33000283.33000131.fas","64","325"
"Danio_rerio.7.33959579.33959351.fas","68","491"
"Danio_rerio.7.35672682.35672518.fas","67","1095"
"Danio_rerio.7.35697706.35697471.fas","97","357"
"Danio_rerio.7.35705170.35704861.fas","90","230"
"Danio_rerio.7.35759614.35759468.fas","85","2281"
"Danio_rerio.7.40198347.40198228.fas","55","363"
"Danio_rerio.7.51756487.51756344.fas","78","525"
"Danio_rerio.7.51861227.51861496.fas","94","109"
"Danio_rerio.7.53266282.53266481.fas","95","113"
"Danio_rerio.7.54396045.54395868.fas","66","239"
"Danio_rerio.7.59137355.59137167.fas","95","321"
"Danio_rerio.7.60626105.60625917.fas","71","49"
"Danio_rerio.7.62620418.62619845.fas","50","3"
"Danio_rerio.7.67298495.67298751.fas","67","26"
"Danio_rerio.7.67305282.67305467.fas","96","277"
"Danio_rerio.7.67305866.67306014.fas","84","232"
"Danio_rerio.7.67311185.67311330.fas","91","143"
"Danio_rerio.7.69753288.69754083.fas","70","36"
"Danio_rerio.7.69813677.69813832.fas","96","912"
"Danio_rerio.7.69816663.69816800.fas","88","209"
"Danio_rerio.7.69838197.69838331.fas","97","686"
"Danio_rerio.7.74642582.74642302.fas","68","246"
"Danio_rerio.8.10280911.10281123.fas","97","3489"
"Danio_rerio.8.12187596.12187724.fas","96","2503"
"Danio_rerio.8.12264492.12264303.fas","96","399"
"Danio_rerio.8.12267358.12267208.fas","94","455"
"Danio_rerio.8.15080683.15080225.fas","90","237"
"Danio_rerio.8.15495730.15497450.fas","53","0"
"Danio_rerio.8.15802236.15802400.fas","94","387"
"Danio_rerio.8.16023898.16023685.fas","91","98"
"Danio_rerio.8.16150702.16150405.fas","97","522"
"Danio_rerio.8.16833218.16833082.fas","95","1392"
"Danio_rerio.8.16842250.16842096.fas","97","2189"
"Danio_rerio.8.17068615.17068415.fas","95","1185"
"Danio_rerio.8.18487796.18487602.fas","57","82"
"Danio_rerio.8.21391447.21391131.fas","71","356"
"Danio_rerio.8.24592861.24592987.fas","94","1526"
"Danio_rerio.8.24593330.24593478.fas","87","1002"
"Danio_rerio.8.25157493.25157683.fas","94","105"
"Danio_rerio.8.26617096.26617227.fas","84","599"
"Danio_rerio.8.27045873.27046040.fas","96","540"
"Danio_rerio.8.31563757.31564018.fas","91","249"
"Danio_rerio.8.31880701.31880541.fas","55","234"
"Danio_rerio.8.31883001.31882858.fas","84","420"
"Danio_rerio.8.31891036.31890839.fas","89","198"
"Danio_rerio.8.31895502.31895347.fas","93","395"
"Danio_rerio.8.32258939.32258809.fas","95","969"
"Danio_rerio.8.32259698.32259025.fas","87","17"
"Danio_rerio.8.33632534.33632912.fas","61","59"
"Danio_rerio.8.37676522.37676718.fas","97","191"
"Danio_rerio.8.42141269.42141122.fas","95","254"
"Danio_rerio.8.43306786.43306650.fas","96","1252"
"Danio_rerio.8.43308524.43308319.fas","95","246"
"Danio_rerio.8.48271304.48271182.fas","88","1386"
"Danio_rerio.8.48305812.48305681.fas","89","1108"
"Danio_rerio.8.48431611.48431477.fas","54","121"
"Danio_rerio.8.48448314.48448099.fas","52","70"
"Danio_rerio.8.48467142.48466910.fas","96","388"
"Danio_rerio.8.48775139.48775912.fas","72","71"
"Danio_rerio.8.48846754.48846307.fas","92","24"
"Danio_rerio.8.49390874.49391008.fas","92","1055"
"Danio_rerio.8.49391091.49391271.fas","96","138"
"Danio_rerio.8.52203421.52203541.fas","85","898"
"Danio_rerio.8.52222339.52222517.fas","56","81"
"Danio_rerio.8.52227089.52227229.fas","94","1827"
"Danio_rerio.8.52227746.52227868.fas","69","428"
"Danio_rerio.8.53172519.53172376.fas","92","117"
"Danio_rerio.8.53597345.53597189.fas","55","265"
"Danio_rerio.8.54109062.54108899.fas","97","755"
"Danio_rerio.8.55543644.55544041.fas","94","1138"
"Danio_rerio.8.7239247.7239081.fas","94","209"
"Danio_rerio.8.7503582.7503275.fas","51","19"
"Danio_rerio.8.9029197.9028817.fas","88","199"
"Danio_rerio.9.16436007.16436207.fas","80","288"
"Danio_rerio.9.16436844.16437070.fas","92","288"
"Danio_rerio.9.17588483.17588217.fas","93","1467"
"Danio_rerio.9.17596546.17596386.fas","95","176"
"Danio_rerio.9.17596788.17596639.fas","96","384"
"Danio_rerio.9.17640174.17640030.fas","83","563"
"Danio_rerio.9.17643391.17643219.fas","77","237"
"Danio_rerio.9.17655643.17655506.fas","95","574"
"Danio_rerio.9.17668575.17668301.fas","95","96"
"Danio_rerio.9.17677605.17677471.fas","96","342"
"Danio_rerio.9.18079305.18079180.fas","94","812"
"Danio_rerio.9.22386580.22386710.fas","95","1001"
"Danio_rerio.9.28750682.28750235.fas","81","45"
"Danio_rerio.9.31301708.31301571.fas","66","556"
"Danio_rerio.9.31588395.31588270.fas","94","449"
"Danio_rerio.9.31672114.31672344.fas","61","18"
"Danio_rerio.9.32750244.32750102.fas","88","554"
"Danio_rerio.9.32758103.32757952.fas","78","706"
"Danio_rerio.9.32772715.32772533.fas","95","297"
"Danio_rerio.9.32775072.32774932.fas","62","265"
"Danio_rerio.9.33125667.33126910.fas","92","303"
"Danio_rerio.9.331978.332098.fas","72","125"
"Danio_rerio.9.33201377.33201195.fas","79","926"
"Danio_rerio.9.33201678.33201457.fas","95","1697"
"Danio_rerio.9.33322445.33322267.fas","58","267"
"Danio_rerio.9.33322703.33322529.fas","95","366"
"Danio_rerio.9.33330878.33330543.fas","91","64"
"Danio_rerio.9.33675775.33675616.fas","94","267"
"Danio_rerio.9.33679006.33678864.fas","89","585"
"Danio_rerio.9.3384683.3384995.fas","86","800"
"Danio_rerio.9.34356604.34356446.fas","66","61"
"Danio_rerio.9.34392307.34393691.fas","56","0"
"Danio_rerio.9.3499570.3499415.fas","96","1103"
"Danio_rerio.9.35088975.35088207.fas","90","18"
"Danio_rerio.9.35991142.35991369.fas","97","22"
"Danio_rerio.9.3919967.3919842.fas","74","320"
"Danio_rerio.9.39400711.39400872.fas","60","199"
"Danio_rerio.9.39699415.39699606.fas","97","208"
"Danio_rerio.9.39724243.39724389.fas","58","750"
"Danio_rerio.9.41942939.41942795.fas","97","530"
"Danio_rerio.9.44633337.44633185.fas","69","112"
"Danio_rerio.9.52779281.52778432.fas","68","140"
"Danio_rerio.9.5285554.5285677.fas","97","197"
"Danio_rerio.9.56443793.56443642.fas","68","1232"
"Danio_rerio.9.57964320.57964522.fas","58","298"
"Danio_rerio.9.58001850.58001623.fas","80","84"
"Danio_rerio.9.5939584.5939378.fas","91","922"
"Danio_rerio.9.6336765.6336945.fas","97","186"
"Danio_rerio.Zv9_NA224.3316.3162.fas","95","1453"
"Danio_rerio.Zv9_NA237.12467.12312.fas","65","185"
"Danio_rerio.Zv9_NA291.15931.16119.fas","63","314"
"Danio_rerio.Zv9_NA403.57460.55995.fas","54","4"
"Danio_rerio.Zv9_NA48.27751.27879.fas","83","510"
"Danio_rerio.Zv9_NA561.62079.61957.fas","93","206"
"Danio_rerio.Zv9_NA771.84418.84281.fas","96","1478"
"Danio_rerio.Zv9_NA880.20944.21069.fas","90","532"
"Danio_rerio.Zv9_scaffold3485.226893.227141.fas","97","656"
"Danio_rerio.Zv9_scaffold3504.59064.58935.fas","97","337"
"Danio_rerio.Zv9_scaffold3540.236007.235818.fas","94","948"
"Danio_rerio.Zv9_scaffold3563.176008.176154.fas","93","1792"
"Gasterosteus_aculeatus.groupI.10088374.10088185.fas","96","122"
"Gasterosteus_aculeatus.groupI.10090714.10090529.fas","87","46"
"Gasterosteus_aculeatus.groupI.10094069.10093942.fas","74","363"
"Gasterosteus_aculeatus.groupI.10125783.10125930.fas","91","609"
"Gasterosteus_aculeatus.groupI.10354911.10354144.fas","82","3"
"Gasterosteus_aculeatus.groupI.12118444.12118610.fas","97","143"
"Gasterosteus_aculeatus.groupI.12120611.12120791.fas","97","16"
"Gasterosteus_aculeatus.groupI.1221690.1221963.fas","84","591"
"Gasterosteus_aculeatus.groupI.14476402.14476583.fas","73","45"
"Gasterosteus_aculeatus.groupI.15751232.15751068.fas","94","891"
"Gasterosteus_aculeatus.groupI.15850768.15850956.fas","96","246"
"Gasterosteus_aculeatus.groupI.15866514.15866678.fas","95","352"
"Gasterosteus_aculeatus.groupI.15872362.15872552.fas","95","435"
"Gasterosteus_aculeatus.groupI.16060789.16060943.fas","85","445"
"Gasterosteus_aculeatus.groupI.16546017.16545896.fas","97","631"
"Gasterosteus_aculeatus.groupI.17098256.17098419.fas","97","908"
"Gasterosteus_aculeatus.groupI.18395176.18394998.fas","77","19"
"Gasterosteus_aculeatus.groupI.20046436.20046560.fas","81","200"
"Gasterosteus_aculeatus.groupI.21084674.21084823.fas","92","362"
"Gasterosteus_aculeatus.groupI.22291228.22290969.fas","58","32"
"Gasterosteus_aculeatus.groupI.22775202.22775470.fas","93","976"
"Gasterosteus_aculeatus.groupI.22776564.22776714.fas","74","663"
"Gasterosteus_aculeatus.groupI.23115854.23116023.fas","86","521"
"Gasterosteus_aculeatus.groupI.25166552.25167176.fas","53","5"
"Gasterosteus_aculeatus.groupI.25485754.25485888.fas","96","663"
"Gasterosteus_aculeatus.groupI.25552921.25553087.fas","96","228"
"Gasterosteus_aculeatus.groupI.25876021.25876212.fas","71","148"
"Gasterosteus_aculeatus.groupI.27324899.27324768.fas","67","302"
"Gasterosteus_aculeatus.groupI.3048836.3048608.fas","95","202"
"Gasterosteus_aculeatus.groupI.4066933.4067114.fas","64","224"
"Gasterosteus_aculeatus.groupI.4446758.4446550.fas","87","257"
"Gasterosteus_aculeatus.groupI.4453186.4453060.fas","97","468"
"Gasterosteus_aculeatus.groupI.4483819.4483588.fas","87","496"
"Gasterosteus_aculeatus.groupI.4484976.4484829.fas","96","1397"
"Gasterosteus_aculeatus.groupI.4757816.4757598.fas","66","574"
"Gasterosteus_aculeatus.groupI.5695811.5695565.fas","95","401"
"Gasterosteus_aculeatus.groupI.5737347.5737206.fas","80","846"
"Gasterosteus_aculeatus.groupI.6233488.6233353.fas","80","187"
"Gasterosteus_aculeatus.groupI.6481925.6482171.fas","53","60"
"Gasterosteus_aculeatus.groupI.6490602.6490724.fas","97","1271"
"Gasterosteus_aculeatus.groupI.6802526.6802377.fas","88","885"
"Gasterosteus_aculeatus.groupI.7536561.7536755.fas","95","93"
"Gasterosteus_aculeatus.groupI.7540320.7540507.fas","96","452"
