Locus	Aver. coding region length(bp)	Aver. flanking region length(bp)	Alignment length(bp)	Aver. GC content(%)	Missing data(%)	Pairwise distance
Danio_rerio.5.26211472.26210808	464.39	258.10	480	53.14	3.25	0.04
Danio_rerio.5.26392610.26392340	260.27	233.81	264	62.39	1.41	0.02
Danio_rerio.5.26790347.26790172	166.69	228.56	174	59.79	4.20	0.02
Danio_rerio.5.27182114.27181911	180.00	260.17	180	59.67	0.00	0.02
Danio_rerio.5.29958635.29958865	225.00	244.40	225	49.07	0.00	0.08
Danio_rerio.5.32228605.32228818	210.32	264.76	213	55.06	1.26	0.02
Danio_rerio.5.32647796.32647945	147.04	216.54	150	46.72	1.97	0.01
Danio_rerio.5.32708698.32708827	125.68	99.46	129	45.28	2.57	0.04
Danio_rerio.5.33713839.33713965	125.91	291.43	126	45.99	0.07	0.02
Danio_rerio.5.34915226.34915029	194.94	246.22	195	46.98	0.03	0.07
Danio_rerio.5.35254252.35254827	280.80	223.66	282	63.01	0.43	0.03
Danio_rerio.5.38164273.38164151	118.98	172.46	120	52.66	0.85	0.02
Danio_rerio.5.38167969.38167758	209.52	241.33	210	55.61	0.23	0.02
Danio_rerio.5.38170455.38170229	220.98	187.32	225	58.58	1.79	0.06
Danio_rerio.5.38178270.38178121	146.93	239.90	150	57.15	2.05	0.03
Danio_rerio.5.38183008.38182808	199.90	330.15	201	50.01	0.55	0.03
Danio_rerio.5.38185627.38185460	160.84	273.83	165	47.55	2.52	0.03
Danio_rerio.5.3939046.3938903	118.10	238.87	120	60.37	1.58	0.05
Danio_rerio.5.43261080.43260889	188.17	224.21	189	53.59	0.44	0.05
Danio_rerio.5.45244668.45244540	122.17	233.13	123	54.91	0.68	0.05
Danio_rerio.5.52913358.52913495	138.00	187.79	138	50.64	0.00	0.02
Danio_rerio.5.5397921.5398072	145.93	189.59	150	60.65	2.71	0.06
Danio_rerio.5.55908236.55908378	130.42	182.22	132	56.59	1.19	0.05
Danio_rerio.5.56089665.56088866	173.97	223.44	174	64.66	0.02	0.06
Danio_rerio.5.60799894.60799744	147.35	250.01	150	57.02	1.77	0.06
Danio_rerio.5.62579908.62580058	146.07	189.60	147	61.48	0.63	0.03
Danio_rerio.5.62582851.62583034	182.16	218.34	183	62.02	0.46	0.03
Danio_rerio.5.62720850.62721098	153.59	214.47	156	54.50	1.54	0.03
Danio_rerio.5.62949388.62948966	402.04	208.41	411	64.29	2.18	0.03
Danio_rerio.5.64935626.64935861	231.24	272.84	234	58.94	1.18	0.04
Danio_rerio.5.66425059.66424489	556.97	250.57	567	52.48	1.77	0.03
Danio_rerio.5.70251556.70250757	146.18	247.53	147	49.21	0.56	0.01
Danio_rerio.5.71737004.71737156	152.07	277.90	153	50.82	0.61	0.03
Danio_rerio.5.71745006.71745148	141.00	298.31	141	41.83	0.00	0.02
Danio_rerio.5.72423975.72423845	128.65	254.82	129	55.35	0.27	0.02
Danio_rerio.5.72426007.72425887	119.09	235.19	120	62.05	0.76	0.02
Danio_rerio.5.75256326.75256502	172.70	234.76	174	51.48	0.75	0.02
Danio_rerio.6.10609072.10608826	179.85	250.89	183	52.67	1.72	0.02
Danio_rerio.6.14888366.14888548	182.37	192.89	183	58.76	0.34	0.04
Danio_rerio.6.16403034.16402857	176.00	234.18	177	57.51	0.56	0.04
Danio_rerio.6.16563331.16563184	152.68	237.42	153	57.51	0.21	0.01
Danio_rerio.6.16670001.16669874	124.81	155.13	126	50.84	0.94	0.05
Danio_rerio.6.17467057.17467215	156.68	137.48	159	60.82	1.46	0.04
Danio_rerio.6.17614743.17614959	174.11	126.98	183	73.58	4.86	0.05
Danio_rerio.6.19534738.19534581	152.72	164.72	156	67.13	2.10	0.08
Danio_rerio.6.21628270.21628423	152.94	282.31	153	57.62	0.04	0.02
Danio_rerio.6.21630709.21630838	127.54	176.45	129	52.02	1.13	0.03
Danio_rerio.6.2263043.2263253	206.41	290.57	207	54.04	0.29	0.01
Danio_rerio.6.2266456.2266585	128.62	297.94	129	49.13	0.30	0.02
Danio_rerio.6.2270208.2270353	143.34	310.60	144	53.18	0.46	0.01
Danio_rerio.6.2271212.2271364	149.65	349.56	150	54.76	0.23	0.02
Danio_rerio.6.23213720.23213546	172.85	255.18	174	56.99	0.66	0.04
Danio_rerio.6.27062551.27062696	144.00	251.97	144	45.10	0.00	0.03
Danio_rerio.6.27867432.27867555	122.94	271.39	123	42.09	0.05	0.03
Danio_rerio.6.29101227.29101401	173.91	299.11	174	54.74	0.05	0.01
Danio_rerio.6.29862704.29860991	477.42	243.64	498	62.03	4.13	0.02
Danio_rerio.6.31319620.31319497	119.23	188.13	120	57.10	0.64	0.04
Danio_rerio.6.32774959.32775124	122.72	293.33	123	53.89	0.23	0.01
Danio_rerio.6.33627405.33627284	119.97	286.73	120	45.19	0.03	0.01
Danio_rerio.6.37577232.37577367	126.50	136.06	138	62.31	8.33	0.03
Danio_rerio.6.40486753.40486879	123.00	299.84	123	50.77	0.00	0.02
Danio_rerio.6.40759925.40759718	204.00	332.98	204	51.11	0.00	0.02
Danio_rerio.6.44090612.44090470	140.91	213.29	141	52.05	0.07	0.03
Danio_rerio.6.46387908.46388030	123.00	265.60	123	40.08	0.00	0.01
Danio_rerio.6.49674955.49675086	126.00	273.56	126	52.36	0.00	0.01
Danio_rerio.6.49681920.49682060	139.79	281.08	141	44.76	0.86	0.02
Danio_rerio.6.49686138.49686281	138.94	164.47	144	51.44	3.51	0.05
Danio_rerio.6.50351368.50351533	164.46	154.12	165	60.42	0.33	0.06
Danio_rerio.6.55314701.55314900	196.04	193.35	198	63.02	0.99	0.04
Danio_rerio.6.57415342.57415169	164.09	180.16	168	66.35	2.33	0.02
Danio_rerio.6.59400746.59400560	180.11	197.62	183	60.58	1.58	0.02
Danio_rerio.6.59641680.59641819	138.00	243.40	138	57.00	0.00	0.02
Danio_rerio.6.6200950.6200746	204.00	85.50	204	66.67	0.00	0.22
Danio_rerio.6.8099502.8099738	236.66	265.03	237	51.79	0.14	0.02
Danio_rerio.6.8115098.8115300	200.06	267.24	201	50.28	0.47	0.02
Danio_rerio.6.9320841.9320985	101.97	273.77	102	51.67	0.03	0.03
Danio_rerio.7.10421381.10421212	141.12	189.36	153	56.86	7.77	0.02
Danio_rerio.7.10426482.10426311	171.00	226.72	171	57.06	0.00	0.05
Danio_rerio.7.10691258.10691005	216.12	264.95	219	57.89	1.31	0.02
Danio_rerio.7.13002350.13001972	131.55	234.67	132	48.56	0.34	0.02
Danio_rerio.7.14523737.14523507	184.55	192.60	186	55.96	0.78	0.04
Danio_rerio.7.19207491.19207711	218.90	187.92	219	62.92	0.05	0.02
Danio_rerio.7.22733105.22733246	139.00	277.38	141	55.88	1.42	0.01
Danio_rerio.7.22750831.22750957	122.04	240.47	123	50.09	0.78	0.03
Danio_rerio.7.25419150.25419518	364.08	214.88	369	64.14	1.33	0.03
Danio_rerio.7.25441552.25441807	253.23	229.94	255	64.41	0.70	0.02
Danio_rerio.7.25640133.25639647	310.00	226.44	312	54.16	0.64	0.03
Danio_rerio.7.25671744.25671928	180.00	264.45	180	60.37	0.00	0.01
Danio_rerio.7.25763095.25762927	158.12	243.99	159	59.64	0.55	0.02
Danio_rerio.7.30552165.30551952	210.06	156.82	213	67.07	1.38	0.02
Danio_rerio.7.31941556.31941103	428.75	270.07	435	57.78	1.44	0.03
Danio_rerio.7.33000283.33000131	144.32	153.20	147	61.41	1.82	0.07
Danio_rerio.7.33959579.33959351	207.00	146.55	210	63.90	1.43	0.02
Danio_rerio.7.35672682.35672518	162.26	212.10	165	56.59	1.66	0.01
Danio_rerio.7.35697706.35697471	234.00	236.40	234	66.07	0.00	0.03
Danio_rerio.7.35705170.35704861	296.77	195.80	300	67.38	1.08	0.03
Danio_rerio.7.35759614.35759468	142.71	160.44	144	63.11	0.90	0.02
Danio_rerio.7.40198347.40198228	116.25	160.05	120	55.24	3.12	0.02
Danio_rerio.7.51756487.51756344	141.08	120.19	144	64.59	2.03	0.02
Danio_rerio.7.51861227.51861496	265.61	199.67	267	63.86	0.52	0.05
Danio_rerio.7.53266282.53266481	194.25	219.75	195	58.32	0.38	0.03
Danio_rerio.7.54396045.54395868	173.19	116.22	177	60.18	2.15	0.01
Danio_rerio.7.59137355.59137167	155.69	218.54	156	58.16	0.20	0.06
Danio_rerio.7.60626105.60625917	188.54	265.76	189	53.18	0.24	0.03
Danio_rerio.7.62620418.62619845	560.94	274.61	567	59.17	1.07	0.03
Danio_rerio.7.67298495.67298751	253.76	261.00	255	56.37	0.48	0.04
Danio_rerio.7.67305282.67305467	186.00	288.15	186	57.93	0.00	0.02
Danio_rerio.7.67305866.67306014	145.52	246.72	147	59.86	1.01	0.04
Danio_rerio.7.67311185.67311330	141.78	195.97	144	59.63	1.54	0.04
Danio_rerio.7.69753288.69754083	698.91	245.93	720	48.99	2.93	0.02
Danio_rerio.7.69813677.69813832	155.07	245.27	156	44.26	0.59	0.02
Danio_rerio.7.69816663.69816800	132.58	245.23	135	45.43	1.79	0.03
Danio_rerio.7.69838197.69838331	135.00	274.02	135	54.16	0.00	0.01
Danio_rerio.7.74642582.74642302	278.70	230.12	279	54.60	0.11	0.02
Danio_rerio.8.10280911.10281123	110.94	233.93	114	57.57	2.69	0.01
Danio_rerio.8.12187596.12187724	128.78	301.68	129	56.97	0.17	0.02
Danio_rerio.8.12264492.12264303	186.00	354.06	186	60.53	0.00	0.02
Danio_rerio.8.12267358.12267208	146.27	239.69	147	52.75	0.49	0.03
Danio_rerio.8.15080683.15080225	155.54	178.56	159	59.56	2.18	0.03
Danio_rerio.8.15495730.15497450	816.39	171.43	843	62.60	3.16	0.06
Danio_rerio.8.15802236.15802400	162.09	245.37	165	49.45	1.76	0.02
Danio_rerio.8.16023898.16023685	212.02	262.80	213	56.50	0.46	0.04
Danio_rerio.8.16150702.16150405	218.54	220.27	219	59.87	0.21	0.02
Danio_rerio.8.16833218.16833082	135.00	271.53	135	48.94	0.00	0.01
Danio_rerio.8.16842250.16842096	152.85	284.54	153	51.16	0.10	0.01
Danio_rerio.8.17068615.17068415	175.66	241.59	177	61.38	0.76	0.02
Danio_rerio.8.18487796.18487602	188.95	206.10	192	58.54	1.59	0.02
Danio_rerio.8.21391447.21391131	299.50	262.85	303	55.99	1.16	0.03
Danio_rerio.8.24592861.24592987	120.00	154.31	123	50.81	2.44	0.02
Danio_rerio.8.24593330.24593478	141.65	245.91	144	52.43	1.63	0.01
Danio_rerio.8.25157493.25157683	145.89	235.91	147	45.83	0.75	0.04
Danio_rerio.8.26617096.26617227	131.47	238.69	132	52.78	0.40	0.03
Danio_rerio.8.27045873.27046040	161.72	221.43	162	55.11	0.17	0.02
Danio_rerio.8.31563757.31564018	158.22	192.45	162	53.44	2.33	0.03
Danio_rerio.8.31880701.31880541	155.25	191.07	159	52.84	2.36	0.03
Danio_rerio.8.31883001.31882858	142.48	248.76	144	59.24	1.05	0.03
Danio_rerio.8.31891036.31890839	197.17	240.72	198	56.85	0.42	0.03
Danio_rerio.8.31895502.31895347	155.74	265.13	156	45.96	0.16	0.03
Danio_rerio.8.32258939.32258809	128.88	263.61	129	54.39	0.10	0.02
Danio_rerio.8.32259698.32259025	359.01	248.26	363	54.19	1.10	0.04
Danio_rerio.8.33632534.33632912	353.12	236.55	360	59.87	1.91	0.06
Danio_rerio.8.37676522.37676718	191.64	217.57	198	55.58	3.21	0.04
Danio_rerio.8.42141269.42141122	147.00	262.83	147	61.47	0.00	0.02
Danio_rerio.8.43306786.43306650	135.00	290.12	135	56.43	0.00	0.01
Danio_rerio.8.43308524.43308319	203.59	267.98	204	57.50	0.20	0.02
Danio_rerio.8.48271304.48271182	122.09	222.01	123	58.82	0.74	0.04
Danio_rerio.8.48305812.48305681	131.30	251.68	132	64.10	0.53	0.02
Danio_rerio.8.48431611.48431477	134.40	200.53	135	58.97	0.44	0.02
Danio_rerio.8.48448314.48448099	201.85	187.13	207	64.05	2.49	0.03
Danio_rerio.8.48467142.48466910	227.26	269.80	228	61.14	0.33	0.02
Danio_rerio.8.48775139.48775912	478.33	258.87	492	63.69	2.78	0.02
Danio_rerio.8.48846754.48846307	428.58	238.23	432	57.53	0.79	0.03
Danio_rerio.8.49390874.49391008	131.48	196.85	132	66.32	0.39	0.03
Danio_rerio.8.49391091.49391271	179.56	155.90	180	53.30	0.25	0.12
Danio_rerio.8.52203421.52203541	119.18	242.92	126	46.73	5.41	0.02
Danio_rerio.8.52222339.52222517	174.11	204.82	177	53.99	1.64	0.04
Danio_rerio.8.52227089.52227229	139.89	231.18	141	56.62	0.78	0.02
Danio_rerio.8.52227746.52227868	121.97	170.66	123	55.71	0.84	0.04
Danio_rerio.8.53172519.53172376	143.65	233.23	144	56.43	0.25	0.05
Danio_rerio.8.53597345.53597189	152.57	184.70	156	52.42	2.20	0.03
Danio_rerio.8.54109062.54108899	161.88	334.83	162	50.98	0.08	0.01
Danio_rerio.8.54357458.54357287	140.33	224.71	141	51.04	0.48	0.02
Danio_rerio.8.55543644.55544041	233.15	270.07	234	58.03	0.36	0.02
Danio_rerio.8.7239247.7239081	155.91	236.39	156	67.66	0.06	0.03
Danio_rerio.8.7503582.7503275	300.69	187.94	306	55.87	1.73	0.04
Danio_rerio.8.9029197.9028817	181.99	195.20	183	57.59	0.55	0.02
Danio_rerio.9.16436007.16436207	194.11	239.06	195	56.32	0.46	0.02
Danio_rerio.9.16436844.16437070	224.65	255.37	225	53.60	0.16	0.02
Danio_rerio.9.17588483.17588217	266.14	250.19	267	66.30	0.32	0.01
Danio_rerio.9.17596546.17596386	158.75	286.57	159	60.92	0.16	0.03
Danio_rerio.9.17596788.17596639	150.00	306.92	150	55.44	0.00	0.02
Danio_rerio.9.17640174.17640030	142.70	255.84	144	59.34	0.90	0.03
Danio_rerio.9.17643391.17643219	168.50	179.26	171	60.39	1.46	0.05
Danio_rerio.9.17655643.17655506	137.97	210.92	138	61.26	0.02	0.04
Danio_rerio.9.17668575.17668301	269.97	251.68	270	63.49	0.01	0.02
Danio_rerio.9.17677605.17677471	131.97	290.51	132	64.94	0.02	0.03
Danio_rerio.9.17698827.17698634	140.33	63.39	147	65.35	4.54	0.05
Danio_rerio.9.18079305.18079180	125.87	187.64	126	54.71	0.10	0.03
Danio_rerio.9.22386580.22386710	128.66	247.18	129	52.79	0.27	0.02
Danio_rerio.9.28750682.28750235	286.90	265.73	288	55.21	0.38	0.03
Danio_rerio.9.31301708.31301571	135.54	174.09	138	55.03	1.78	0.02
Danio_rerio.9.31588395.31588270	125.81	229.73	126	57.49	0.15	0.03
Danio_rerio.9.31672114.31672344	209.61	168.73	213	61.35	1.59	0.06
Danio_rerio.9.32750244.32750102	140.83	235.17	141	52.11	0.12	0.02
Danio_rerio.9.32758103.32757952	146.24	244.23	147	60.56	0.52	0.03
Danio_rerio.9.32772715.32772533	182.94	224.49	183	58.09	0.03	0.03
Danio_rerio.9.32775072.32774932	137.29	118.73	141	61.09	2.63	0.02
Danio_rerio.9.33125667.33126910	230.32	229.08	231	62.82	0.30	0.02
Danio_rerio.9.331978.332098	116.17	166.17	120	64.15	3.19	0.05
Danio_rerio.9.33201377.33201195	179.36	193.36	183	63.13	1.99	0.02
Danio_rerio.9.33201678.33201457	218.28	281.43	219	61.02	0.33	0.01
Danio_rerio.9.33322445.33322267	172.22	171.00	177	63.35	2.70	0.03
Danio_rerio.9.33322703.33322529	174.00	237.52	174	69.71	0.00	0.02
Danio_rerio.9.33330878.33330543	334.30	197.27	336	64.48	0.50	0.02
Danio_rerio.9.33675775.33675616	156.00	246.84	156	52.60	0.00	0.02
Danio_rerio.9.33679006.33678864	140.03	253.07	141	57.25	0.69	0.02
Danio_rerio.9.3384683.3384995	303.90	283.90	309	49.95	1.65	0.01
Danio_rerio.9.34356604.34356446	152.17	154.31	156	64.10	2.46	0.05
Danio_rerio.9.34392307.34393691	642.64	128.93	690	65.02	6.86	0.05
Danio_rerio.9.3499570.3499415	152.88	186.65	153	52.50	0.08	0.06
Danio_rerio.9.35088975.35088207	269.51	201.45	270	58.53	0.18	0.03
Danio_rerio.9.35991142.35991369	218.72	278.95	219	56.76	0.13	0.04
Danio_rerio.9.3919967.3919842	122.00	277.71	123	59.17	0.81	0.03
Danio_rerio.9.39400711.39400872	155.31	198.59	159	53.68	2.32	0.03
Danio_rerio.9.39699415.39699606	191.69	257.15	192	59.03	0.16	0.03
Danio_rerio.9.39724243.39724389	144.20	228.64	147	63.13	1.90	0.01
Danio_rerio.9.41942939.41942795	137.88	290.70	138	47.15	0.09	0.02
Danio_rerio.9.44633337.44633185	148.50	147.87	153	55.53	2.94	0.08
Danio_rerio.9.52779281.52778432	833.09	249.71	840	58.20	0.82	0.01
Danio_rerio.9.5285554.5285677	120.00	226.92	120	45.65	0.00	0.03
Danio_rerio.9.57964320.57964522	199.88	243.56	201	64.21	0.56	0.01
Danio_rerio.9.58001850.58001623	227.06	182.31	231	59.59	1.71	0.11
Danio_rerio.9.5939584.5939378	199.60	188.05	204	54.02	2.16	0.03
Danio_rerio.9.6336765.6336945	179.79	296.74	180	52.64	0.12	0.04
Danio_rerio.Zv9_NA224.3316.3162	149.47	249.46	150	57.63	0.35	0.02
Danio_rerio.Zv9_NA237.12467.12312	152.89	125.22	156	61.64	1.99	0.03
Danio_rerio.Zv9_NA291.15931.16119	187.27	134.02	189	57.69	0.92	0.11
Danio_rerio.Zv9_NA403.57460.55995	714.05	350.05	729	55.63	2.05	0.03
Danio_rerio.Zv9_NA48.27751.27879	127.46	151.71	129	61.21	1.19	0.03
Danio_rerio.Zv9_NA561.62079.61957	123.00	268.11	123	49.74	0.00	0.03
Danio_rerio.Zv9_NA771.84418.84281	138.00	300.23	138	53.11	0.00	0.01
Danio_rerio.Zv9_NA880.20944.21069	125.18	230.86	126	52.82	0.65	0.03
Danio_rerio.Zv9_scaffold3485.226893.227141	155.91	225.91	156	54.48	0.06	0.02
Danio_rerio.Zv9_scaffold3504.59064.58935	129.00	286.95	129	54.21	0.00	0.02
Danio_rerio.Zv9_scaffold3540.236007.235818	188.27	235.15	189	59.00	0.38	0.01
Danio_rerio.Zv9_scaffold3563.176008.176154	142.97	179.57	144	59.22	0.72	0.02
Gasterosteus_aculeatus.groupI.10088374.10088185	182.69	187.41	186	58.74	1.78	0.03
Gasterosteus_aculeatus.groupI.10090714.10090529	185.45	246.51	186	58.19	0.29	0.04
Gasterosteus_aculeatus.groupI.10094069.10093942	119.96	99.32	123	44.68	2.47	0.03
Gasterosteus_aculeatus.groupI.10125783.10125930	143.80	257.89	144	52.15	0.14	0.03
Gasterosteus_aculeatus.groupI.10354911.10354144	756.23	241.92	765	46.61	1.15	0.07
Gasterosteus_aculeatus.groupI.12118444.12118610	159.06	306.79	165	51.78	3.60	0.04
Gasterosteus_aculeatus.groupI.12120611.12120791	179.76	247.06	180	55.06	0.14	0.04
Gasterosteus_aculeatus.groupI.1221690.1221963	178.43	101.18	195	56.43	8.50	0.04
Gasterosteus_aculeatus.groupI.14476402.14476583	178.62	267.69	180	54.81	0.77	0.04
Gasterosteus_aculeatus.groupI.15751232.15751068	158.78	245.81	159	57.65	0.14	0.03
Gasterosteus_aculeatus.groupI.15850768.15850956	186.00	246.26	186	51.44	0.00	0.03
Gasterosteus_aculeatus.groupI.15866514.15866678	156.00	113.25	159	54.29	1.89	0.05
Gasterosteus_aculeatus.groupI.15872362.15872552	188.44	253.28	189	56.75	0.30	0.02
Gasterosteus_aculeatus.groupI.16060789.16060943	148.80	244.69	150	54.95	0.80	0.04
Gasterosteus_aculeatus.groupI.16546017.16545896	120.00	297.65	120	45.80	0.00	0.02
Gasterosteus_aculeatus.groupI.17098256.17098419	161.94	265.45	162	54.80	0.04	0.01
Gasterosteus_aculeatus.groupI.18395176.18394998	176.27	238.60	177	61.38	0.41	0.04
Gasterosteus_aculeatus.groupI.20046436.20046560	121.94	183.33	123	50.04	0.86	0.07
Gasterosteus_aculeatus.groupI.21084674.21084823	149.65	271.33	150	55.29	0.24	0.03
Gasterosteus_aculeatus.groupI.22291228.22290969	255.00	78.50	255	60.59	0.00	0.16
Gasterosteus_aculeatus.groupI.22775202.22775470	263.71	245.30	264	61.79	0.11	0.02
Gasterosteus_aculeatus.groupI.22776564.22776714	146.32	235.24	150	54.34	2.45	0.02
Gasterosteus_aculeatus.groupI.23115854.23116023	165.86	133.69	168	63.03	1.27	0.03
Gasterosteus_aculeatus.groupI.25166552.25167176	580.30	121.09	624	61.49	7.00	0.03
Gasterosteus_aculeatus.groupI.25485754.25485888	129.00	251.65	129	46.72	0.00	0.02
Gasterosteus_aculeatus.groupI.25552921.25553087	165.00	262.11	165	49.20	0.00	0.05
Gasterosteus_aculeatus.groupI.25876021.25876212	188.88	239.50	189	51.93	0.07	0.02
Gasterosteus_aculeatus.groupI.27324899.27324768	130.28	142.60	132	58.27	1.30	0.04
Gasterosteus_aculeatus.groupI.3048836.3048608	224.62	178.66	228	53.27	1.48	0.03
Gasterosteus_aculeatus.groupI.4066933.4067114	178.52	204.71	180	53.21	0.82	0.02
Gasterosteus_aculeatus.groupI.4446758.4446550	208.81	244.88	210	55.51	0.57	0.02
Gasterosteus_aculeatus.groupI.4453186.4453060	122.85	218.51	123	47.59	0.12	0.04
Gasterosteus_aculeatus.groupI.4483819.4483588	229.77	197.57	231	59.26	0.53	0.02
Gasterosteus_aculeatus.groupI.4484976.4484829	144.00	282.52	144	57.68	0.00	0.01
Gasterosteus_aculeatus.groupI.4757816.4757598	216.99	222.96	219	59.63	0.92	0.02
Gasterosteus_aculeatus.groupI.5695811.5695565	243.00	189.23	243	63.09	0.00	0.03
Gasterosteus_aculeatus.groupI.5737347.5737206	140.11	115.12	141	54.73	0.63	0.09
Gasterosteus_aculeatus.groupI.6233488.6233353	133.67	130.62	135	58.78	0.98	0.06
Gasterosteus_aculeatus.groupI.6481925.6482171	246.00	197.83	246	55.96	0.00	0.07
Gasterosteus_aculeatus.groupI.6490602.6490724	122.91	141.64	123	41.64	0.07	0.05
Gasterosteus_aculeatus.groupI.6802526.6802377	148.04	207.01	150	61.13	1.30	0.08
Gasterosteus_aculeatus.groupI.7536561.7536755	192.00	245.47	192	61.18	0.00	0.04
Gasterosteus_aculeatus.groupI.7540320.7540507	185.97	279.10	186	54.79	0.02	0.02
Gasterosteus_aculeatus.groupI.7542485.7542620	134.44	262.24	135	54.38	0.42	0.03
Gasterosteus_aculeatus.groupI.7545001.7545288	179.02	268.04	183	57.75	2.17	0.01
Gasterosteus_aculeatus.groupI.7986568.7986770	198.12	174.97	201	54.45	1.43	0.04
Gasterosteus_aculeatus.groupI.7990789.7990976	182.60	261.98	183	54.00	0.22	0.01
Gasterosteus_aculeatus.groupI.9297590.9297741	150.00	311.97	150	53.31	0.00	0.04
Gasterosteus_aculeatus.groupI.9821231.9821381	149.50	216.99	150	54.86	0.33	0.02
Gasterosteus_aculeatus.groupI.9837162.9836952	205.96	269.55	207	59.13	0.50	0.03
Gasterosteus_aculeatus.groupII.10242577.10242795	217.42	258.81	219	61.77	0.72	0.03
Gasterosteus_aculeatus.groupII.10244762.10244897	134.97	233.70	135	56.26	0.02	0.04
Gasterosteus_aculeatus.groupII.10483463.10482668	788.36	264.52	807	56.75	2.31	0.04
Gasterosteus_aculeatus.groupII.10488582.10488431	146.12	207.68	147	54.39	0.60	0.03
Gasterosteus_aculeatus.groupII.10490602.10490408	194.02	262.52	195	50.57	0.50	0.02
Gasterosteus_aculeatus.groupII.10638898.10639059	161.88	243.09	162	52.09	0.08	0.05
Gasterosteus_aculeatus.groupII.11121050.11121660	578.00	176.78	606	55.48	4.62	0.09
Gasterosteus_aculeatus.groupII.11497785.11498042	257.65	206.18	258	54.45	0.13	0.03
Gasterosteus_aculeatus.groupII.11823837.11824061	224.32	233.98	225	58.05	0.30	0.03
Gasterosteus_aculeatus.groupII.13627072.13626940	128.59	231.14	129	47.12	0.31	0.03
Gasterosteus_aculeatus.groupII.13989513.13989645	128.23	238.42	129	57.09	0.59	0.02
Gasterosteus_aculeatus.groupII.14008226.14008361	133.50	228.40	135	57.37	1.11	0.02
Gasterosteus_aculeatus.groupII.14502968.14503173	202.25	241.04	204	56.19	0.86	0.04
Gasterosteus_aculeatus.groupII.17860262.17859951	312.78	240.18	315	62.45	0.70	0.06
Gasterosteus_aculeatus.groupII.18555030.18555167	135.00	236.70	135	56.92	0.00	0.02
Gasterosteus_aculeatus.groupII.19418278.19418449	170.52	194.75	171	56.51	0.28	0.02
Gasterosteus_aculeatus.groupII.21751809.21751937	121.20	153.81	123	59.12	1.46	0.04
Gasterosteus_aculeatus.groupII.22058261.22058391	125.70	207.77	126	64.31	0.24	0.05
Gasterosteus_aculeatus.groupII.22198624.22198758	134.97	196.94	135	56.29	0.02	0.02
Gasterosteus_aculeatus.groupII.22335438.22335282	155.59	212.94	171	58.43	9.01	0.02
Gasterosteus_aculeatus.groupII.302850.303014	163.33	252.96	165	57.44	1.01	0.04
Gasterosteus_aculeatus.groupII.3692075.3691889	180.63	254.92	183	56.45	1.29	0.02
Gasterosteus_aculeatus.groupII.5006185.5006049	134.91	264.65	135	48.50	0.07	0.02
Gasterosteus_aculeatus.groupII.5007048.5006924	122.07	263.47	123	59.39	0.76	0.02
Gasterosteus_aculeatus.groupII.5109516.5109689	170.66	201.60	174	57.34	1.92	0.03
Gasterosteus_aculeatus.groupII.531903.532041	137.01	256.34	138	55.02	0.72	0.02
Gasterosteus_aculeatus.groupII.5733532.5733724	191.90	269.06	192	62.64	0.05	0.01
Gasterosteus_aculeatus.groupII.6065685.6065828	138.00	263.24	138	54.71	0.00	0.02
Gasterosteus_aculeatus.groupII.6080369.6080608	238.50	234.91	240	60.43	0.62	0.02
Gasterosteus_aculeatus.groupII.6489206.6489355	147.95	236.03	150	54.45	1.37	0.02
Gasterosteus_aculeatus.groupII.8482345.8482182	157.66	223.11	159	61.26	0.84	0.04
Gasterosteus_aculeatus.groupII.8576776.8576990	205.86	223.46	207	58.01	0.55	0.05
Gasterosteus_aculeatus.groupII.8619772.8619573	196.58	253.29	198	50.49	0.72	0.02
Gasterosteus_aculeatus.groupII.9374319.9374542	220.30	226.21	222	52.69	0.77	0.02
Gasterosteus_aculeatus.groupII.9716095.9716331	236.23	247.41	237	59.10	0.33	0.03
Gasterosteus_aculeatus.groupIII.10780739.10780567	170.43	256.45	171	52.06	0.34	0.01
Gasterosteus_aculeatus.groupIII.10841363.10841175	177.44	228.82	180	62.48	1.42	0.03
Gasterosteus_aculeatus.groupIII.13508040.13508207	164.22	215.17	165	48.71	0.47	0.04
Gasterosteus_aculeatus.groupIII.13697634.13697789	149.39	261.53	150	54.45	0.41	0.03
Gasterosteus_aculeatus.groupIII.13931238.13930971	266.68	239.87	267	54.92	0.12	0.03
Gasterosteus_aculeatus.groupIII.15883812.15883650	160.62	150.73	162	62.70	0.85	0.04
Gasterosteus_aculeatus.groupIII.15884486.15884252	226.22	108.31	234	63.64	3.32	0.03
Gasterosteus_aculeatus.groupIII.16085028.16084785	235.26	233.19	240	59.48	1.97	0.02
Gasterosteus_aculeatus.groupIII.16377385.16377147	153.33	174.35	162	57.03	5.35	0.01
Gasterosteus_aculeatus.groupIII.1963544.1963753	174.95	201.51	201	53.49	12.96	0.05
Gasterosteus_aculeatus.groupIII.1967870.1968032	143.37	183.55	159	49.26	9.83	0.06
Gasterosteus_aculeatus.groupIII.2038334.2038508	155.03	194.88	159	54.68	2.49	0.04
Gasterosteus_aculeatus.groupIII.3877469.3877612	140.58	264.66	141	52.42	0.30	0.02
Gasterosteus_aculeatus.groupIII.3881046.3881170	122.91	300.46	123	53.47	0.08	0.01
Gasterosteus_aculeatus.groupIII.5389306.5389106	198.00	307.92	198	63.36	0.00	0.02
